2025-06-21T19:34:56.207647314Z 2025-06-21 19:34:56.207 | DEBUG    | rocket_controller.strategies.strategy:__init__:82 - Initialized final strategy parameters:
2025-06-21T19:34:56.207714882Z 	{'encoding': [3673, 1372, 3024, 2534, 2935, 3049, 3684, 2717, 2085, 2563, 1317, 1962, 2816, 2336, 3131, 2916, 2991, 3108, 2355, 385, 3624, 563, 634, 3738, 1840, 1628, 2348, 1670, 3902, 2416, 2974, 2544, 3091, 1387, 2948, 1337, 1249, 3831, 2687, 42, 3295, 1665, 532, 2415, 999, 797, 3311, 1201, 2736, 456, 320, 2279, 504, 493, 1567, 1076, 1775, 2600, 999, 1450, 1764, 3034, 3487, 1275, 3114, 2314, 2814, 2397, 362, 755, 74, 3401, 54, 674, 475, 2332, 495, 990, 2471, 3169, 488, 1804, 2266, 2653, 1859, 91, 3254, 1551, 3331, 3500, 2477, 866, 2950, 3082, 703, 2195, 1839, 184, 3304, 2416, 3731, 596, 228, 883, 125, 2517, 2133, 2360, 804, 2632, 917, 678, 3975, 1822, 3393, 2900, 3530, 755, 445, 1063, 1152, 2203, 1262, 2729, 3903, 2492, 2393, 697, 1283, 2836, 1055, 2703, 1888, 1418, 2225, 2446, 1456, 3684, 930, 1927]}
2025-06-21T19:34:56.207728107Z 2025-06-21 19:34:56.207 | DEBUG    | rocket_controller.strategies.strategy:__init__:83 - Initialized final strategy network configuration:
2025-06-21T19:34:56.207737334Z 	{'hostname_prefix': 'AMG_TournamentDCD_G39T2R0', 'number_of_nodes': 5, 'network_partition': [], 'unl_partition': [], 'transactions': {'genesis': [{'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account1'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account2'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account3'}], 'regular': [{'peer_id': 0, 'amount': 80000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}, {'peer_id': 1, 'amount': 81000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 2, 'amount': 82000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 3, 'amount': 83000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}]}}
2025-06-21T19:34:56.216330958Z 2025-06-21 19:34:56.216 | DEBUG    | rocket_controller.iteration_type:add_iteration:342 - Stopping logLedgerResul;t
2025-06-21T19:34:56.216373969Z 2025-06-21 19:34:56.216 | DEBUG    | rocket_controller.iteration_type:add_iteration:347 - Done stopping logLedgerResul;t
2025-06-21T19:34:56.217116661Z 2025-06-21 19:34:56.216 | INFO     | rocket_controller.iteration_type:add_iteration:359 - Starting iteration 1
2025-06-21T19:34:56.217139223Z 2025-06-21 19:34:56.216 | INFO     | rocket_controller.interceptor_manager:start_new:70 - Starting interceptor
2025-06-21T19:34:56.218771766Z 2025-06-21 19:34:56.218 | INFO     | rocket_controller.iteration_type:_start_transactions:157 - Starting Transaction.
2025-06-21T19:35:16.219485053Z 2025-06-21 19:35:16.219 | INFO     | rocket_controller.iteration_type:_perform_transactions:163 - Waiting for validator nodes to be initialized...
2025-06-21T19:35:44.751009307Z 2025-06-21 19:35:44.750 | INFO     | rocket_controller.strategies.strategy:update_network:124 - Updating the strategy's network information
2025-06-21T19:35:46.220262163Z 2025-06-21 19:35:46.219 | INFO     | rocket_controller.iteration_type:_perform_transactions:167 - Waiting for network to be initialized...
2025-06-21T19:35:46.220313870Z 2025-06-21 19:35:46.220 | INFO     | rocket_controller.iteration_type:_perform_transactions:171 - Waiting for ledger to be available before submitting transaction...
2025-06-21T19:36:01.219005557Z 2025-06-21 19:36:01.218 | INFO     | rocket_controller.iteration_type:_timeout_reached:137 - Timeout reached.
2025-06-21T19:36:01.219076642Z 2025-06-21 19:36:01.218 | INFO     | rocket_controller.iteration_type:_timeout_reached:139 - Checking correct setup
2025-06-21T19:36:01.219125163Z 2025-06-21 19:36:01.219 | INFO     | rocket_controller.iteration_type:_timeout_reached:143 - Setup went wrong, resetting entire test.
2025-06-21T19:36:10.163151351Z 2025-06-21 19:36:10.162 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 2 in 0:00:25.326175
2025-06-21T19:36:10.226678512Z 2025-06-21 19:36:10.226 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 2 in 0:00:25.414031
2025-06-21T19:36:10.319488155Z 2025-06-21 19:36:10.319 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 2 validated ledger 2 in 0:00:25.507298
2025-06-21T19:36:10.379694928Z 2025-06-21 19:36:10.379 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 2 in 0:00:25.570187
2025-06-21T19:36:10.909906431Z 2025-06-21 19:36:10.909 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 2 in 0:00:26.119534
