2025-06-22T07:20:25.166536203Z 2025-06-22 07:20:25.166 | DEBUG    | rocket_controller.strategies.strategy:__init__:82 - Initialized final strategy parameters:
2025-06-22T07:20:25.166583532Z 	{'encoding': [2681, 541, 1353, 3467, 1034, 3200, 3052, 252, 756, 2176, 2521, 675, 3638, 3198, 1114, 300, 1977, 1983, 3735, 2871, 3982, 3090, 2851, 1492, 1754, 2334, 115, 2118, 1341, 828, 2552, 1350, 3902, 1443, 1785, 1321, 2739, 1673, 994, 3304, 118, 2730, 3547, 2835, 187, 2993, 2624, 3002, 3439, 1475, 3961, 2483, 1891, 1566, 3807, 3889, 378, 3869, 3560, 3159, 1511, 1390, 1137, 3347, 501, 1114, 1049, 676, 3344, 1509, 3834, 330, 1194, 3842, 413, 3267, 1331, 3274, 3589, 3388, 2322, 3155, 620, 3583, 3795, 3917, 1594, 1766, 971, 369, 2449, 1988, 1818, 2389, 3056, 577, 804, 1995, 2055, 904, 2482, 2733, 1605, 3184, 2902, 3169, 85, 2946, 3809, 740, 2528, 29, 3919, 1110, 2225, 1278, 583, 2221, 3505, 2185, 3666, 2573, 2389, 2570, 3809, 3881, 1123, 3690, 3950, 1716, 1775, 1389, 1116, 1985, 3532, 1421, 2563, 1317, 3944, 1472]}
2025-06-22T07:20:25.166655809Z 2025-06-22 07:20:25.166 | DEBUG    | rocket_controller.strategies.strategy:__init__:83 - Initialized final strategy network configuration:
2025-06-22T07:20:25.166660808Z 	{'hostname_prefix': 'AMG_ProposalTournament_G21T5R1', 'number_of_nodes': 5, 'network_partition': [], 'unl_partition': [], 'transactions': {'genesis': [{'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account1'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account2'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account3'}], 'regular': [{'peer_id': 0, 'amount': 80000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}, {'peer_id': 1, 'amount': 81000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 2, 'amount': 82000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 3, 'amount': 83000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}]}}
2025-06-22T07:20:25.175511018Z 2025-06-22 07:20:25.175 | DEBUG    | rocket_controller.iteration_type:add_iteration:342 - Stopping logLedgerResul;t
2025-06-22T07:20:25.175569468Z 2025-06-22 07:20:25.175 | DEBUG    | rocket_controller.iteration_type:add_iteration:347 - Done stopping logLedgerResul;t
2025-06-22T07:20:25.176287854Z 2025-06-22 07:20:25.176 | INFO     | rocket_controller.iteration_type:add_iteration:359 - Starting iteration 1
2025-06-22T07:20:25.176366803Z 2025-06-22 07:20:25.176 | INFO     | rocket_controller.interceptor_manager:start_new:70 - Starting interceptor
2025-06-22T07:20:25.177904266Z 2025-06-22 07:20:25.177 | INFO     | rocket_controller.iteration_type:_start_transactions:157 - Starting Transaction.
2025-06-22T07:20:45.178714587Z 2025-06-22 07:20:45.178 | INFO     | rocket_controller.iteration_type:_perform_transactions:163 - Waiting for validator nodes to be initialized...
2025-06-22T07:21:14.559981822Z 2025-06-22 07:21:14.559 | INFO     | rocket_controller.strategies.strategy:update_network:124 - Updating the strategy's network information
2025-06-22T07:21:15.179704520Z 2025-06-22 07:21:15.179 | INFO     | rocket_controller.iteration_type:_perform_transactions:167 - Waiting for network to be initialized...
2025-06-22T07:21:15.179804148Z 2025-06-22 07:21:15.179 | INFO     | rocket_controller.iteration_type:_perform_transactions:171 - Waiting for ledger to be available before submitting transaction...
2025-06-22T07:21:30.178119650Z 2025-06-22 07:21:30.177 | INFO     | rocket_controller.iteration_type:_timeout_reached:137 - Timeout reached.
2025-06-22T07:21:30.178172380Z 2025-06-22 07:21:30.177 | INFO     | rocket_controller.iteration_type:_timeout_reached:139 - Checking correct setup
2025-06-22T07:21:30.178210812Z 2025-06-22 07:21:30.178 | INFO     | rocket_controller.iteration_type:_timeout_reached:143 - Setup went wrong, resetting entire test.
2025-06-22T07:21:40.245666550Z 2025-06-22 07:21:40.245 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 1 validated ledger 2 in 0:00:25.631043
