2025-06-22T08:46:24.865281231Z 2025-06-22 08:46:24.864 | DEBUG    | rocket_controller.strategies.strategy:__init__:82 - Initialized final strategy parameters:
2025-06-22T08:46:24.865342667Z 	{'encoding': [887, 3506, 828, 1371, 2943, 1237, 3612, 3216, 879, 3914, 3709, 1755, 3278, 918, 483, 287, 678, 3005, 1407, 2424, 2293, 118, 1335, 1713, 1420, 2497, 3371, 2808, 499, 372, 2165, 3242, 924, 3199, 3935, 1459, 1635, 372, 1120, 3335, 3976, 1073, 24, 2030, 1871, 831, 3050, 941, 649, 2682, 3610, 3934, 2286, 1479, 3067, 1990, 1935, 207, 1233, 427, 929, 430, 2058, 1003, 3326, 3291, 3715, 3979, 32, 3409, 1079, 3024, 1714, 1189, 635, 1451, 225, 867, 1995, 3689, 3678, 2839, 1395, 104, 3542, 563, 976, 3213, 293, 3691, 2588, 1839, 990, 3088, 1112, 2731, 805, 1208, 2094, 735, 1940, 3853, 1113, 492, 343, 2894, 1350, 3779, 1253, 2037, 2247, 2566, 1244, 3344, 3094, 2834, 1692, 919, 405, 3696, 1006, 2339, 3277, 2031, 2679, 3024, 2827, 2183, 475, 3099, 1132, 1164, 3778, 3697, 708, 3289, 2061, 1776, 1581, 1815]}
2025-06-22T08:46:24.865353237Z 2025-06-22 08:46:24.865 | DEBUG    | rocket_controller.strategies.strategy:__init__:83 - Initialized final strategy network configuration:
2025-06-22T08:46:24.865357325Z 	{'hostname_prefix': 'AMG_ProposalRoulette_G32T8R0', 'number_of_nodes': 5, 'network_partition': [], 'unl_partition': [], 'transactions': {'genesis': [{'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account1'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account2'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account3'}], 'regular': [{'peer_id': 0, 'amount': 80000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}, {'peer_id': 1, 'amount': 81000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 2, 'amount': 82000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 3, 'amount': 83000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}]}}
2025-06-22T08:46:24.873755483Z 2025-06-22 08:46:24.873 | DEBUG    | rocket_controller.iteration_type:add_iteration:342 - Stopping logLedgerResul;t
2025-06-22T08:46:24.873819063Z 2025-06-22 08:46:24.873 | DEBUG    | rocket_controller.iteration_type:add_iteration:347 - Done stopping logLedgerResul;t
2025-06-22T08:46:24.874505912Z 2025-06-22 08:46:24.874 | INFO     | rocket_controller.iteration_type:add_iteration:359 - Starting iteration 1
2025-06-22T08:46:24.874578049Z 2025-06-22 08:46:24.874 | INFO     | rocket_controller.interceptor_manager:start_new:70 - Starting interceptor
2025-06-22T08:46:24.875866646Z 2025-06-22 08:46:24.875 | INFO     | rocket_controller.iteration_type:_start_transactions:157 - Starting Transaction.
2025-06-22T08:46:38.230314855Z 2025-06-22 08:46:38.229 | INFO     | rocket_controller.strategies.strategy:update_network:124 - Updating the strategy's network information
2025-06-22T08:46:44.876581811Z 2025-06-22 08:46:44.876 | INFO     | rocket_controller.iteration_type:_perform_transactions:163 - Waiting for validator nodes to be initialized...
2025-06-22T08:46:44.876650401Z 2025-06-22 08:46:44.876 | INFO     | rocket_controller.iteration_type:_perform_transactions:167 - Waiting for network to be initialized...
2025-06-22T08:46:44.876721014Z 2025-06-22 08:46:44.876 | INFO     | rocket_controller.iteration_type:_perform_transactions:171 - Waiting for ledger to be available before submitting transaction...
2025-06-22T08:47:29.876344639Z 2025-06-22 08:47:29.875 | INFO     | rocket_controller.iteration_type:_timeout_reached:137 - Timeout reached.
2025-06-22T08:47:29.876508278Z 2025-06-22 08:47:29.876 | INFO     | rocket_controller.iteration_type:_timeout_reached:139 - Checking correct setup
2025-06-22T08:47:29.876640148Z 2025-06-22 08:47:29.876 | INFO     | rocket_controller.iteration_type:_timeout_reached:143 - Setup went wrong, resetting entire test.
