node_id,ledger_seq,goal_ledger_seq,time_to_validation,close_time,ledger_hash,ledger_index
3,3,20,4.001866,803848410,65FBF0FF0DC350A40891DDF480239BBB034FD3678674F53544C66C286B3D9CFA,3
0,3,20,4.007769,803848410,65FBF0FF0DC350A40891DDF480239BBB034FD3678674F53544C66C286B3D9CFA,3
4,3,20,4.001330,803848410,65FBF0FF0DC350A40891DDF480239BBB034FD3678674F53544C66C286B3D9CFA,3
2,3,20,5.001003,803848410,65FBF0FF0DC350A40891DDF480239BBB034FD3678674F53544C66C286B3D9CFA,3
2,2,20,25.538376,803848390,F5BA7E6B82AA3DE5C3B9060EF4817AC87D3DEF96538DE061BBF6CFAE5A811896,2
1,3,20,4.990831,803848410,65FBF0FF0DC350A40891DDF480239BBB034FD3678674F53544C66C286B3D9CFA,3
1,2,20,25.589156,803848390,F5BA7E6B82AA3DE5C3B9060EF4817AC87D3DEF96538DE061BBF6CFAE5A811896,2
3,2,20,25.667906,803848390,F5BA7E6B82AA3DE5C3B9060EF4817AC87D3DEF96538DE061BBF6CFAE5A811896,2
0,2,20,26.028131,803848390,F5BA7E6B82AA3DE5C3B9060EF4817AC87D3DEF96538DE061BBF6CFAE5A811896,2
4,2,20,26.229563,803848390,F5BA7E6B82AA3DE5C3B9060EF4817AC87D3DEF96538DE061BBF6CFAE5A811896,2
1,4,20,3.980672,803848411,4D529F0960135D574ADAD6DB56E5CA55452FC1D03A56CED37FF4F201C92C056A,4
3,4,20,5.001422,803848411,4D529F0960135D574ADAD6DB56E5CA55452FC1D03A56CED37FF4F201C92C056A,4
0,4,20,4.996508,803848411,4D529F0960135D574ADAD6DB56E5CA55452FC1D03A56CED37FF4F201C92C056A,4
4,4,20,5.003472,803848411,4D529F0960135D574ADAD6DB56E5CA55452FC1D03A56CED37FF4F201C92C056A,4
2,4,20,5.002440,803848411,4D529F0960135D574ADAD6DB56E5CA55452FC1D03A56CED37FF4F201C92C056A,4
4,5,20,4.000232,803848420,64F5A127BA6773487CF1D30D813236444F99DFE5D6A656FB904E62C872D54F90,5
1,5,20,5.002165,803848420,64F5A127BA6773487CF1D30D813236444F99DFE5D6A656FB904E62C872D54F90,5
3,5,20,5.029255,803848420,64F5A127BA6773487CF1D30D813236444F99DFE5D6A656FB904E62C872D54F90,5
0,5,20,5.001703,803848420,64F5A127BA6773487CF1D30D813236444F99DFE5D6A656FB904E62C872D54F90,5
2,5,20,5.000285,803848420,64F5A127BA6773487CF1D30D813236444F99DFE5D6A656FB904E62C872D54F90,5
2,6,20,5.003622,803848421,5946B0D5635026C0342FDA87C2B4286EEC013846AE0D84D181634C460BA4952B,6
1,6,20,6.026174,803848421,5946B0D5635026C0342FDA87C2B4286EEC013846AE0D84D181634C460BA4952B,6
3,6,20,5.975439,803848421,5946B0D5635026C0342FDA87C2B4286EEC013846AE0D84D181634C460BA4952B,6
4,6,20,8.002007,803848421,5946B0D5635026C0342FDA87C2B4286EEC013846AE0D84D181634C460BA4952B,6
0,6,20,8.005884,803848421,5946B0D5635026C0342FDA87C2B4286EEC013846AE0D84D181634C460BA4952B,6
4,7,20,5.002215,803848430,9072E0692A73FF82D0898BB6E798104DA4816276C6A0DE8C44E1A183F2E2CA3F,7
1,7,20,6.981716,803848430,9072E0692A73FF82D0898BB6E798104DA4816276C6A0DE8C44E1A183F2E2CA3F,7
3,7,20,7.003739,803848430,9072E0692A73FF82D0898BB6E798104DA4816276C6A0DE8C44E1A183F2E2CA3F,7
0,7,20,5.002339,803848430,9072E0692A73FF82D0898BB6E798104DA4816276C6A0DE8C44E1A183F2E2CA3F,7
2,7,20,8.010003,803848430,9072E0692A73FF82D0898BB6E798104DA4816276C6A0DE8C44E1A183F2E2CA3F,7
4,8,20,4.001733,803848440,56E4B82FDF0B3CF8CBD61E0697C870DF7C050D22C265955901C4F9DBD6946513,8
1,8,20,4.001146,803848440,56E4B82FDF0B3CF8CBD61E0697C870DF7C050D22C265955901C4F9DBD6946513,8
3,8,20,4.001210,803848440,56E4B82FDF0B3CF8CBD61E0697C870DF7C050D22C265955901C4F9DBD6946513,8
0,8,20,4.003564,803848440,56E4B82FDF0B3CF8CBD61E0697C870DF7C050D22C265955901C4F9DBD6946513,8
2,8,20,4.001477,803848440,56E4B82FDF0B3CF8CBD61E0697C870DF7C050D22C265955901C4F9DBD6946513,8
0,9,20,3.001885,803848441,27AD18E7052116273F2F4F51907F301C6754760590563FEA1F60693B6CA2A2A5,9
4,9,20,4.000552,803848441,27AD18E7052116273F2F4F51907F301C6754760590563FEA1F60693B6CA2A2A5,9
1,9,20,4.000576,803848441,27AD18E7052116273F2F4F51907F301C6754760590563FEA1F60693B6CA2A2A5,9
3,9,20,4.001770,803848441,27AD18E7052116273F2F4F51907F301C6754760590563FEA1F60693B6CA2A2A5,9
2,9,20,4.001767,803848441,27AD18E7052116273F2F4F51907F301C6754760590563FEA1F60693B6CA2A2A5,9
0,10,20,4.000111,803848442,738B8CC8AE725FF7C775A5C32267A14E03484D0B59328817B4B509C95499A291,10
4,10,20,4.002846,803848450,8617C981ADC05E6DDC3FAAE5F90B0E542FBC1F2DAB7F7D1913977DB09715C8BE,10
1,10,20,4.010503,803848450,8617C981ADC05E6DDC3FAAE5F90B0E542FBC1F2DAB7F7D1913977DB09715C8BE,10
3,10,20,4.001788,803848450,8617C981ADC05E6DDC3FAAE5F90B0E542FBC1F2DAB7F7D1913977DB09715C8BE,10
2,10,20,4.001639,803848450,8617C981ADC05E6DDC3FAAE5F90B0E542FBC1F2DAB7F7D1913977DB09715C8BE,10
4,11,20,3.000999,803848451,98F0E8AF8E35B26AE391C0CC75C5BEB554872B999E61E61D684A702DCC8AEBF6,11
1,11,20,3.000571,803848451,98F0E8AF8E35B26AE391C0CC75C5BEB554872B999E61E61D684A702DCC8AEBF6,11
3,11,20,3.000942,803848451,98F0E8AF8E35B26AE391C0CC75C5BEB554872B999E61E61D684A702DCC8AEBF6,11
0,11,20,4.002216,803848451,98F0E8AF8E35B26AE391C0CC75C5BEB554872B999E61E61D684A702DCC8AEBF6,11
2,11,20,3.001360,803848451,98F0E8AF8E35B26AE391C0CC75C5BEB554872B999E61E61D684A702DCC8AEBF6,11
4,12,20,3.001402,803848452,C3E9ED83B0AE93ACF5111818EBD8768D9945573E23D4A1A9255412ADBD3D4B76,12
1,12,20,3.001058,803848452,C3E9ED83B0AE93ACF5111818EBD8768D9945573E23D4A1A9255412ADBD3D4B76,12
3,12,20,3.001678,803848452,C3E9ED83B0AE93ACF5111818EBD8768D9945573E23D4A1A9255412ADBD3D4B76,12
0,12,20,3.001190,803848452,C3E9ED83B0AE93ACF5111818EBD8768D9945573E23D4A1A9255412ADBD3D4B76,12
2,12,20,3.002951,803848452,C3E9ED83B0AE93ACF5111818EBD8768D9945573E23D4A1A9255412ADBD3D4B76,12
4,13,20,3.001191,803848460,AC586A15C969165F8DE966BA38917E15AA11E32A341CB60BF7A220F2DC08200C,13
1,13,20,3.001196,803848460,AC586A15C969165F8DE966BA38917E15AA11E32A341CB60BF7A220F2DC08200C,13
3,13,20,3.001333,803848460,AC586A15C969165F8DE966BA38917E15AA11E32A341CB60BF7A220F2DC08200C,13
0,13,20,3.001696,803848460,AC586A15C969165F8DE966BA38917E15AA11E32A341CB60BF7A220F2DC08200C,13
2,13,20,2.999973,803848460,AC586A15C969165F8DE966BA38917E15AA11E32A341CB60BF7A220F2DC08200C,13
