2025-06-21T23:16:05.348596653Z 2025-06-21 23:16:05.348 | DEBUG    | rocket_controller.strategies.strategy:__init__:82 - Initialized final strategy parameters:
2025-06-21T23:16:05.348663079Z 	{'encoding': [3405, 1942, 2942, 1564, 3541, 1161, 661, 3909, 1686, 1753, 272, 1574, 1421, 160, 3129, 2163, 205, 3919, 3301, 2211, 3246, 1948, 1100, 2284, 1554, 3605, 861, 3676, 2553, 2073, 151, 3334, 3660, 2542, 2836, 722, 876, 2979, 3180, 726, 3670, 2581, 3685, 565, 2815, 833, 1406, 3055, 3612, 1689, 1217, 2552, 1149, 1147, 2809, 3108, 2021, 2137, 2291, 2713, 3272, 964, 1200, 103, 3284, 2374, 3490, 2033, 3091, 3478, 3116, 3554, 1564, 2138, 1864, 1927, 449, 692, 782, 1644, 3650, 391, 3285, 3460, 2838, 964, 1952, 2023, 1129, 2219, 419, 63, 2564, 3977, 1624, 912, 3290, 2434, 2360, 1470, 288, 3632, 73, 3987, 3633, 341, 2781, 3115, 1730, 2718, 3995, 1559, 2691, 1381, 1591, 2236, 700, 1298, 544, 106, 741, 752, 3447, 3252, 539, 947, 1587, 1774, 1725, 2098, 1210, 3706, 708, 1672, 3140, 2648, 322, 3889, 2319, 999]}
2025-06-21T23:16:05.348675873Z 2025-06-21 23:16:05.348 | DEBUG    | rocket_controller.strategies.strategy:__init__:83 - Initialized final strategy network configuration:
2025-06-21T23:16:05.348683908Z 	{'hostname_prefix': 'AMG_Random_G17T3R0', 'number_of_nodes': 5, 'network_partition': [], 'unl_partition': [], 'transactions': {'genesis': [{'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account1'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account2'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account3'}], 'regular': [{'peer_id': 0, 'amount': 80000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}, {'peer_id': 1, 'amount': 81000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 2, 'amount': 82000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 3, 'amount': 83000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}]}}
2025-06-21T23:16:05.356910832Z 2025-06-21 23:16:05.356 | DEBUG    | rocket_controller.iteration_type:add_iteration:342 - Stopping logLedgerResul;t
2025-06-21T23:16:05.357002235Z 2025-06-21 23:16:05.356 | DEBUG    | rocket_controller.iteration_type:add_iteration:347 - Done stopping logLedgerResul;t
2025-06-21T23:16:05.357809900Z 2025-06-21 23:16:05.357 | INFO     | rocket_controller.iteration_type:add_iteration:359 - Starting iteration 1
2025-06-21T23:16:05.357878770Z 2025-06-21 23:16:05.357 | INFO     | rocket_controller.interceptor_manager:start_new:70 - Starting interceptor
2025-06-21T23:16:05.359358745Z 2025-06-21 23:16:05.359 | INFO     | rocket_controller.iteration_type:_start_transactions:157 - Starting Transaction.
2025-06-21T23:16:25.360229553Z 2025-06-21 23:16:25.359 | INFO     | rocket_controller.iteration_type:_perform_transactions:163 - Waiting for validator nodes to be initialized...
2025-06-21T23:16:44.177237532Z 2025-06-21 23:16:44.176 | INFO     | rocket_controller.strategies.strategy:update_network:124 - Updating the strategy's network information
2025-06-21T23:16:45.360885571Z 2025-06-21 23:16:45.360 | INFO     | rocket_controller.iteration_type:_perform_transactions:167 - Waiting for network to be initialized...
2025-06-21T23:16:45.361009425Z 2025-06-21 23:16:45.360 | INFO     | rocket_controller.iteration_type:_perform_transactions:171 - Waiting for ledger to be available before submitting transaction...
2025-06-21T23:17:10.359743158Z 2025-06-21 23:17:10.359 | INFO     | rocket_controller.iteration_type:_timeout_reached:137 - Timeout reached.
2025-06-21T23:17:10.359840421Z 2025-06-21 23:17:10.359 | INFO     | rocket_controller.iteration_type:_timeout_reached:139 - Checking correct setup
2025-06-21T23:17:10.360037003Z 2025-06-21 23:17:10.359 | INFO     | rocket_controller.iteration_type:_timeout_reached:143 - Setup went wrong, resetting entire test.
2025-06-21T23:17:10.597919448Z 2025-06-21 23:17:10.597 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 4 validated ledger 2 in 0:00:26.332650
2025-06-21T23:17:10.636865606Z 2025-06-21 23:17:10.636 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 0 validated ledger 2 in 0:00:26.421702
2025-06-21T23:17:10.716180387Z 2025-06-21 23:17:10.715 | INFO     | rocket_controller.iteration_type:on_status_change:440 - Node 3 validated ledger 2 in 0:00:26.466743
