2025-06-21T17:01:30.277295261Z 2025-06-21 17:01:30.276 | DEBUG    | rocket_controller.strategies.strategy:__init__:82 - Initialized final strategy parameters:
2025-06-21T17:01:30.277353531Z 	{'encoding': [1431, 2950, 834, 595, 1966, 1250, 468, 3792, 2311, 1794, 489, 1253, 373, 3290, 2956, 282, 3335, 3249, 2988, 1344, 2542, 1802, 319, 2666, 2971, 1034, 3285, 2856, 1869, 234, 1609, 2681, 2436, 1412, 2571, 3337, 2096, 3285, 2842, 1433, 1490, 3569, 462, 1751, 239, 1223, 3722, 1283, 748, 187, 2396, 3009, 2489, 2692, 1745, 3769, 3378, 3610, 215, 3664, 1751, 720, 3341, 2375, 2307, 253, 2179, 3031, 2478, 3095, 205, 3766, 3669, 1691, 2926, 3364, 1601, 457, 1363, 2690, 25, 383, 680, 771, 1724, 1586, 2505, 1971, 2705, 1141, 361, 1897, 490, 2018, 300, 1723, 2211, 2768, 1608, 2634, 2231, 3459, 165, 2535, 1343, 2749, 2408, 1032, 297, 94, 901, 3504, 2946, 1725, 2914, 2659, 3625, 2303, 354, 2580, 633, 2692, 109, 1087, 2882, 3387, 2155, 66, 2066, 1035, 1724, 1136, 882, 443, 3243, 1273, 592, 3358, 1618, 922]}
2025-06-21T17:01:30.277366917Z 2025-06-21 17:01:30.277 | DEBUG    | rocket_controller.strategies.strategy:__init__:83 - Initialized final strategy network configuration:
2025-06-21T17:01:30.277374611Z 	{'hostname_prefix': 'AMG_NSGAII_G20T3R0', 'number_of_nodes': 5, 'network_partition': [], 'unl_partition': [], 'transactions': {'genesis': [{'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account1'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account2'}, {'peer_id': 1, 'amount': 100001000000, 'sender_account': 'None', 'destination_account': 'Account3'}], 'regular': [{'peer_id': 0, 'amount': 80000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}, {'peer_id': 1, 'amount': 81000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 2, 'amount': 82000000000, 'sender_account': 'Account1', 'destination_account': 'Account3', 'time': 2}, {'peer_id': 3, 'amount': 83000000000, 'sender_account': 'Account1', 'destination_account': 'Account2', 'time': 2}]}}
2025-06-21T17:01:30.286371928Z 2025-06-21 17:01:30.286 | DEBUG    | rocket_controller.iteration_type:add_iteration:342 - Stopping logLedgerResul;t
2025-06-21T17:01:30.286409198Z 2025-06-21 17:01:30.286 | DEBUG    | rocket_controller.iteration_type:add_iteration:347 - Done stopping logLedgerResul;t
2025-06-21T17:01:30.287138505Z 2025-06-21 17:01:30.286 | INFO     | rocket_controller.iteration_type:add_iteration:359 - Starting iteration 1
2025-06-21T17:01:30.287218546Z 2025-06-21 17:01:30.287 | INFO     | rocket_controller.interceptor_manager:start_new:70 - Starting interceptor
2025-06-21T17:01:30.288560099Z 2025-06-21 17:01:30.288 | INFO     | rocket_controller.iteration_type:_start_transactions:157 - Starting Transaction.
2025-06-21T17:01:50.289562313Z 2025-06-21 17:01:50.288 | INFO     | rocket_controller.iteration_type:_perform_transactions:163 - Waiting for validator nodes to be initialized...
2025-06-21T17:01:50.402957657Z 2025-06-21 17:01:50.402 | INFO     | rocket_controller.strategies.strategy:update_network:124 - Updating the strategy's network information
